Name,Membership,Location,Reputation,Reached,Answers,Questions,Gold Badges,Silver Badges,Bronze Badges,Tags,Profile Link
bergi,"12 years, 8 months",,"654,750",47.9m,"12,553",37,,,,"javascript 52,607,promise 13,730,ecmascript-6 13,352,node.js 11,140,arrays 3,750,jquery 3,700,",https://stackoverflow.com/users/1048572/bergi
eric lippert,"15 years, 3 months","Seattle, WA","656,214",26.7m,"3,744",0,,,,"c# 75,392,.net 20,366,generics 4,511,multithreading 4,386,linq 3,573,inheritance 3,301,",https://stackoverflow.com/users/88656/eric-lippert
jb nizet,"13 years, 6 months","Saint-Etienne, France","687,542",73.2m,"13,968",8,,,,"java 44,616,hibernate 9,404,spring 5,435,jpa 5,423,angularjs 2,462,jsp 2,394,",https://stackoverflow.com/users/571407/jb-nizet
guffa,"15 years, 4 months","Virsbo, Sweden","696,380",115.8m,"10,598",3,,,,"c# 24,696,javascript 19,545,jquery 8,918,.net 7,462,html 5,275,sql 5,258,",https://stackoverflow.com/users/69083/guffa
jon skeet,"15 years, 9 months","Reading, United Kingdom","1,473,411",409.6m,"35,730",55,,,,"c# 266,466,java 158,425,.net 92,518,linq 38,505,string 24,820,generics 22,469,",https://stackoverflow.com/users/22656/jon-skeet
jfriend00,13 years,,"700,435",64.2m,"13,854",50,,,,"javascript 43,238,node.js 17,067,jquery 13,898,html 8,085,promise 6,091,express 3,916,",https://stackoverflow.com/users/816620/jfriend00
boltclock,"15 years, 2 months",Singapore,"716,115",64.9m,"4,631",25,,,,"css 43,595,css-selectors 21,484,html 19,811,php 8,952,javascript 6,086,c# 4,957,",https://stackoverflow.com/users/106224/boltclock
stephen c,15 years,Australia,"712,458",105.7m,"15,625",22,95,831,"1,245","java 56,893,multithreading 3,716,string 3,093,android 2,216,arrays 2,145,performance 1,979,",https://stackoverflow.com/users/139985/stephen-c
paolo bergantino,"15 years, 10 months","Kennewick, WA","485,818",61.9m,"1,011",18,,,,"python 18,508,javascript 16,958,jquery 11,853,php 3,971,html 2,189,mysql 1,671,",https://stackoverflow.com/users/16417/paolo-bergantino
alex,"15 years, 8 months","London, United Kingdom","486,679",87.4m,"4,764",490,,,,"javascript 17,206,php 9,078,html 8,867,css 8,097,jquery 6,765,regex 1,648,",https://stackoverflow.com/users/31671/alex
cascabel,"15 years, 1 month",USA,"490,440",48.3m,736,1,,,,"git 46,143,github 2,613,branch 1,872,vim 1,367,bash 859,merge 617,",https://stackoverflow.com/users/119963/cascabel
npe,"14 years, 1 month","London, United Kingdom","495,843",75.4m,"6,729",58,,,,"python 24,315,java 14,392,c++ 5,920,c 4,809,list 3,080,string 3,051,",https://stackoverflow.com/users/367273/npe
oded,"15 years, 11 months","London, United Kingdom","495,924",73.9m,"7,501",35,,,,"c# 21,896,.net 7,090,asp.net 5,162,sql 3,631,sql-server 3,046,html 2,710,",https://stackoverflow.com/users/1583/oded
gmannickg,"15 years, 3 months",,"500,825",22.8m,"1,398",18,,,,"c++ 20,910,c++11 3,627,templates 1,943,c 1,848,stl 1,629,pointers 1,121,",https://stackoverflow.com/users/87234/gmannickg
suragch,"10 years, 1 month",,"503,384",91.6m,"1,019",374,,,,"android 19,506,ios 14,513,flutter 12,388,swift 11,357,dart 9,370,xcode 3,048,",https://stackoverflow.com/users/3681880/suragch
johannes schaub litb,"15 years, 8 months","Frankfurt, Germany","503,109",69.5m,"2,560",219,,,,"c++ 34,251,templates 7,074,c 6,200,c++11 4,915,pointers 4,506,stl 2,249,",https://stackoverflow.com/users/34509/johannes-schaub-litb
adam rosenfield,"15 years, 10 months",United States,"396,855",52.0m,"2,165",28,,,,"python 9,105,c++ 8,517,c 8,038,objective-c 4,154,linux 1,338,java 1,229,",https://stackoverflow.com/users/9530/adam-rosenfield
unwind,"15 years, 9 months","Stockholm, Sweden","397,087",59.8m,"6,099",8,,,,"c 19,550,c++ 6,871,python 6,430,string 2,126,linux 1,913,struct 1,647,",https://stackoverflow.com/users/28169/unwind
crazycoder,"15 years, 2 months","San Diego, CA, USA","397,643",26.6m,"2,888",0,,,,"intellij-idea 30,620,java 11,060,phpstorm 3,198,ide 2,994,pycharm 2,355,maven 2,175,",https://stackoverflow.com/users/104891/crazycoder
pascal martin,15 years,"Lyon, France","398,980",41.4m,"3,001",3,,,,"php 24,721,javascript 7,381,mysql 5,163,arrays 1,904,html 1,676,sql 1,376,",https://stackoverflow.com/users/138475/pascal-martin
bill the lizard,"15 years, 11 months","Charlotte, NC","402,934",67.2m,"2,054",68,,,,"javascript 7,688,java 7,654,python 1,306,c# 1,284,c++ 1,099,algorithm 863,",https://stackoverflow.com/users/1288/bill-the-lizard
skaffman,"15 years, 9 months",UK,"401,895",50.7m,"3,247",50,96,823,774,"java 27,486,spring 10,163,spring-mvc 2,936,hibernate 1,774,jsp 1,703,jaxb 1,510,",https://stackoverflow.com/users/21234/skaffman
some programmer dude,"13 years, 10 months","Malmö, Sweden","406,502",36.8m,"11,929",43,,,,"c++ 18,658,c 13,697,pointers 3,058,arrays 2,627,c++11 2,037,string 1,756,",https://stackoverflow.com/users/440558/some-programmer-dude
mipadi,"15 years, 9 months","San Francisco, CA","406,957",39.3m,"1,748",86,,,,"git 19,245,python 4,916,objective-c 2,853,macos 1,954,django 1,849,github 1,283,",https://stackoverflow.com/users/28804/mipadi
icza,"11 years, 9 months","Budapest, Hungary","408,691",44.4m,"3,978",14,,,,"go 33,800,string 5,225,struct 4,994,slice 4,805,java 3,083,pointers 2,997,",https://stackoverflow.com/users/1705598/icza
jfs,"15 years, 10 months","Moscow, Russia","409,828",130.3m,"4,484",38,,,,"python 34,171,subprocess 4,130,datetime 4,003,python-3.x 2,970,python-2.7 1,150,unicode 1,143,",https://stackoverflow.com/users/4279/jfs
joel coehoorn,"15 years, 10 months","York, NE","410,198",76.6m,"8,153",102,,,,"c# 15,054,sql 6,722,.net 6,388,sql-server 4,973,vb.net 4,242,asp.net 2,548,",https://stackoverflow.com/users/3043/joel-coehoorn
matt ball,15 years,Somewhere near the inner rim of the Orion Arm,"358,489",52.0m,"3,727",103,102,649,716,"javascript 8,223,java 6,665,jquery 5,629,html 2,187,android 2,125,css 1,724,",https://stackoverflow.com/users/139010/matt-ball
marc b,"15 years, 1 month",Canada,"359,102",52.0m,"10,565",0,,,,"php 16,929,mysql 10,109,sql 3,768,javascript 2,960,html 1,820,jquery 1,486,",https://stackoverflow.com/users/118068/marc-b
sarfaraz nawaz,"13 years, 11 months",Singapore,"359,193",32.7m,"3,033",217,,,,"c++ 26,097,c++11 3,884,templates 2,140,c 1,889,stl 973,pointers 915,",https://stackoverflow.com/users/415784/sarfaraz-nawaz
carol skelly,"14 years, 10 months",USA,"359,227",71.1m,"3,540",26,,,,"twitter-bootstrap 26,894,css 21,019,bootstrap-4 17,331,twitter-bootstrap-3 9,090,html 7,167,bootstrap-5 6,504,",https://stackoverflow.com/users/171456/carol-skelly
fred foo,"14 years, 10 months",,"360,988",41.4m,"3,963",68,78,752,843,"python 14,199,c++ 4,412,c 3,939,scikit-learn 2,407,numpy 2,139,machine-learning 1,707,",https://stackoverflow.com/users/166749/fred-foo
ladislav mrnka,"13 years, 11 months","Welwyn Garden City, United Kingdom","363,361",25.0m,"4,994",71,,,,"entity-framework 19,995,c# 13,565,entity-framework-4.1 6,897,entity-framework-4 6,050,ef-code-first 5,473,.net 5,173,",https://stackoverflow.com/users/413501/ladislav-mrnka
abarnert,"12 years, 11 months","San Francisco, CA","362,062",58.0m,"6,317",5,,,,"python 31,680,python-3.x 4,496,python-2.7 2,007,numpy 1,582,list 1,575,macos 1,487,",https://stackoverflow.com/users/908494/abarnert
niet the dark absol,"13 years, 8 months",United Kingdom,"323,175",43.3m,"7,788",277,,,,"javascript 13,547,php 8,117,html 6,561,css 4,356,jquery 4,192,arrays 1,865,",https://stackoverflow.com/users/507674/niet-the-dark-absol
joan venge,"15 years, 6 months","Los Angeles, CA","325,986",40.5m,24,822,,,,"c# 11,.net 8,wpf 3,python 1,xaml 1,performance 0,",https://stackoverflow.com/users/51816/joan-venge
