Name,Membership,Location,Reputation,Reached,Answers,Questions,Gold Badges,Silver Badges,Bronze Badges,Tags,Profile Link
eric lippert,"15 years, 3 months","Seattle, WA","656,214",26.7m,"3,744",0,,,,"c# 75,392,.net 20,366,generics 4,511,multithreading 4,386,linq 3,573,inheritance 3,301,",https://stackoverflow.com/users/88656/eric-lippert
boltclock,"15 years, 2 months",Singapore,"716,115",64.9m,"4,631",25,,,,"css 43,593,css-selectors 21,483,html 19,811,php 8,952,javascript 6,086,c# 4,957,",https://stackoverflow.com/users/106224/boltclock
guffa,"15 years, 4 months","Virsbo, Sweden","696,330",115.8m,"10,598",3,,,,"c# 24,696,javascript 19,545,jquery 8,918,.net 7,462,html 5,274,sql 5,258,",https://stackoverflow.com/users/69083/guffa
jb nizet,"13 years, 6 months","Saint-Etienne, France","687,532",73.2m,"13,968",8,,,,"java 44,616,hibernate 9,403,spring 5,434,jpa 5,423,angularjs 2,462,jsp 2,394,",https://stackoverflow.com/users/571407/jb-nizet
bergi,"12 years, 8 months",,"654,726",47.9m,"12,553",37,,,,"javascript 52,604,promise 13,729,ecmascript-6 13,352,node.js 11,139,arrays 3,750,jquery 3,700,",https://stackoverflow.com/users/1048572/bergi
marc s,"15 years, 10 months","Bern, Switzerland","747,428",120.3m,"9,442",244,,,,"sql-server 37,002,sql 19,442,c# 15,798,t-sql 11,301,sql-server-2008 9,334,wcf 8,516,",https://stackoverflow.com/users/13302/marc-s
jaredpar,"15 years, 9 months","Redmond, WA","747,454",97.3m,"6,405",5,,,,"c# 44,131,.net 17,368,c++ 7,949,visual-studio 5,925,linq 5,381,vb.net 3,026,",https://stackoverflow.com/users/23283/jaredpar
cb bailey,"15 years, 10 months",United Kingdom,"779,481",64.8m,"1,979",0,,,,"git 71,797,c++ 13,374,c 3,250,pointers 882,stl 871,arrays 869,",https://stackoverflow.com/users/19563/cb-bailey
sergey kalinichenko,"14 years, 2 months",United States,"722,995",68.6m,"15,969",32,,,,"c# 17,765,java 16,319,c++ 13,375,c 12,276,objective-c 5,050,arrays 4,445,",https://stackoverflow.com/users/335858/sergey-kalinichenko
ignacio vazquez abrams,"15 years, 9 months",,"791,434",137.9m,"12,214",8,,,,"python 46,307,bash 8,045,django 7,571,linux 5,945,php 5,212,shell 4,202,",https://stackoverflow.com/users/20862/ignacio-vazquez-abrams
jonathan leffler,"15 years, 10 months","Colorado, USA","746,245",109.0m,"13,207",52,,,,"c 30,108,bash 13,300,c++ 8,341,shell 7,316,unix 6,389,linux 6,072,",https://stackoverflow.com/users/15168/jonathan-leffler
christian c salvad%c3%b3,"15 years, 10 months",Guatemala,"821,372",102.7m,"2,158",0,,,,"javascript 63,538,jquery 17,252,html 8,671,arrays 8,195,c# 7,758,regex 3,671,",https://stackoverflow.com/users/5445/christian-c-salvad%c3%b3
anubhava,"13 years, 7 months","Bangalore, India","777,060",62.4m,"25,835",11,,,,"regex 25,549,bash 23,000,shell 13,948,.htaccess 12,119,apache 7,762,mod-rewrite 7,675,",https://stackoverflow.com/users/548225/anubhava
jfriend00,13 years,,"700,415",64.2m,"13,854",50,,,,"javascript 43,238,node.js 17,065,jquery 13,898,html 8,085,promise 6,091,express 3,916,",https://stackoverflow.com/users/816620/jfriend00
stephen c,15 years,Australia,"712,438",105.7m,"15,623",22,95,831,"1,245","java 56,893,multithreading 3,716,string 3,093,android 2,216,arrays 2,145,performance 1,979,",https://stackoverflow.com/users/139985/stephen-c
unutbu,"14 years, 9 months",,"868,434",134.2m,"7,504",17,,,,"python 98,722,pandas 28,005,numpy 16,113,dataframe 14,653,matplotlib 9,221,arrays 3,816,",https://stackoverflow.com/users/190597/unutbu
mark byers,"15 years, 5 months",Denmark,"829,309",123.4m,"6,727",0,198,"1,603","1,458","python 23,735,c# 18,825,mysql 12,959,string 12,261,sql 9,472,java 8,780,",https://stackoverflow.com/users/61974/mark-byers
felix kling,"14 years, 7 months",Germany,"810,392",93.7m,"7,089",8,,,,"javascript 51,670,jquery 12,210,ecmascript-6 7,143,php 6,627,html 4,984,arrays 4,596,",https://stackoverflow.com/users/218196/felix-kling
alex martelli,"15 years, 2 months","Sunnyvale, CA","873,052",134.1m,"6,237",6,,,,"python 78,730,list 13,383,dictionary 3,983,c++ 2,458,django 2,317,google-app-engine 1,925,",https://stackoverflow.com/users/95810/alex-martelli
paxdiablo,"15 years, 10 months",,"872,796",150.6m,"11,369",275,,,,"c 17,850,c++ 11,725,bash 10,242,linux 5,685,python 5,319,shell 5,282,",https://stackoverflow.com/users/14860/paxdiablo
slaks,"15 years, 8 months",New Jersey,"881,488",132.6m,"15,100",51,,,,"c# 43,987,javascript 24,693,.net 15,961,jquery 15,581,java 7,717,html 5,741,",https://stackoverflow.com/users/34397/slaks
barmar,12 years,"Arlington, MA","769,059",39.4m,"33,177",20,,,,"javascript 13,972,php 10,402,mysql 9,711,bash 6,796,jquery 6,486,python 6,396,",https://stackoverflow.com/users/1491895/barmar
paolo bergantino,"15 years, 10 months","Kennewick, WA","485,818",61.9m,"1,011",18,,,,"python 18,508,javascript 16,958,jquery 11,853,php 3,971,html 2,189,mysql 1,671,",https://stackoverflow.com/users/16417/paolo-bergantino
cascabel,"15 years, 1 month",USA,"490,430",48.3m,736,1,,,,"git 46,141,github 2,613,branch 1,872,vim 1,367,bash 859,merge 617,",https://stackoverflow.com/users/119963/cascabel
jezrael,"10 years, 9 months","Bratislava, Slovakia","853,345",95.1m,"31,050",45,,,,"pandas 88,212,python 81,057,dataframe 34,418,python-3.x 9,043,numpy 5,322,datetime 4,200,",https://stackoverflow.com/users/2901002/jezrael
alex,"15 years, 8 months","London, United Kingdom","486,679",87.4m,"4,764",490,,,,"javascript 17,205,php 9,078,html 8,866,css 8,095,jquery 6,764,regex 1,648,",https://stackoverflow.com/users/31671/alex
johannes schaub litb,"15 years, 8 months","Frankfurt, Germany","503,099",69.5m,"2,560",219,,,,"c++ 34,251,templates 7,074,c 6,200,c++11 4,915,pointers 4,506,stl 2,249,",https://stackoverflow.com/users/34509/johannes-schaub-litb
gmannickg,"15 years, 3 months",,"500,825",22.8m,"1,398",18,,,,"c++ 20,910,c++11 3,627,templates 1,943,c 1,848,stl 1,629,pointers 1,121,",https://stackoverflow.com/users/87234/gmannickg
quentin,"15 years, 10 months",United Kingdom,"935,124",138.9m,"24,733",4,,,,"javascript 50,138,html 37,641,css 14,871,php 9,729,jquery 9,232,json 4,479,",https://stackoverflow.com/users/19068/quentin
npe,"14 years, 1 month","London, United Kingdom","495,843",75.4m,"6,729",58,,,,"python 24,314,java 14,392,c++ 5,920,c 4,809,list 3,080,string 3,051,",https://stackoverflow.com/users/367273/npe
deceze,"15 years, 11 months",♦,"518,061",44.2m,"8,803",84,,,,"php 28,837,javascript 6,121,arrays 3,907,python 3,078,mysql 2,555,html 2,418,",https://stackoverflow.com/users/476/deceze
suragch,"10 years, 1 month",,"503,344",91.6m,"1,019",374,,,,"android 19,503,ios 14,513,flutter 12,384,swift 11,357,dart 9,367,xcode 3,048,",https://stackoverflow.com/users/3681880/suragch
akrun,"10 years, 1 month",,"882,717",41.6m,"37,940",0,,,,"r 72,976,dplyr 16,736,dataframe 11,309,data.table 4,938,regex 3,278,tidyverse 3,253,",https://stackoverflow.com/users/3732271/akrun
adam rosenfield,"15 years, 10 months",United States,"396,855",52.0m,"2,165",28,,,,"python 9,105,c++ 8,514,c 8,038,objective-c 4,154,linux 1,338,java 1,229,",https://stackoverflow.com/users/9530/adam-rosenfield
crazycoder,"15 years, 2 months","San Diego, CA, USA","397,643",26.6m,"2,888",0,,,,"intellij-idea 30,620,java 11,060,phpstorm 3,198,ide 2,994,pycharm 2,355,maven 2,175,",https://stackoverflow.com/users/104891/crazycoder
unwind,"15 years, 9 months","Stockholm, Sweden","397,087",59.8m,"6,099",8,,,,"c 19,549,c++ 6,871,python 6,430,string 2,126,linux 1,913,struct 1,647,",https://stackoverflow.com/users/28169/unwind
tim biegeleisen,"11 years, 7 months",Singapore,"514,833",28.5m,"22,084",78,,,,"sql 10,877,mysql 7,124,java 4,298,regex 4,132,sql-server 3,992,r 3,184,",https://stackoverflow.com/users/1863229/tim-biegeleisen
kennytm,"14 years, 7 months",Hong Kong,"519,324",52.5m,"3,801",13,108,"1,093","1,010","python 9,317,c++ 7,939,javascript 6,257,objective-c 5,950,iphone 5,523,c 4,468,",https://stackoverflow.com/users/224671/kennytm
skaffman,"15 years, 9 months",UK,"401,895",50.7m,"3,247",50,96,823,774,"java 27,486,spring 10,163,spring-mvc 2,936,hibernate 1,774,jsp 1,703,jaxb 1,510,",https://stackoverflow.com/users/21234/skaffman
oded,"15 years, 11 months","London, United Kingdom","495,924",73.9m,"7,501",35,,,,"c# 21,895,.net 7,090,asp.net 5,162,sql 3,631,sql-server 3,046,html 2,710,",https://stackoverflow.com/users/1583/oded
pascal martin,15 years,"Lyon, France","398,980",41.4m,"3,001",3,,,,"php 24,721,javascript 7,381,mysql 5,163,arrays 1,904,html 1,676,sql 1,376,",https://stackoverflow.com/users/138475/pascal-martin
bill the lizard,"15 years, 11 months","Charlotte, NC","402,914",67.2m,"2,054",68,,,,"javascript 7,688,java 7,654,python 1,306,c# 1,283,c++ 1,099,algorithm 863,",https://stackoverflow.com/users/1288/bill-the-lizard
mipadi,"15 years, 9 months","San Francisco, CA","406,947",39.3m,"1,748",86,,,,"git 19,243,python 4,916,objective-c 2,853,macos 1,954,django 1,849,github 1,283,",https://stackoverflow.com/users/28804/mipadi
icza,"11 years, 9 months","Budapest, Hungary","408,691",44.4m,"3,978",14,,,,"go 33,797,string 5,225,struct 4,994,slice 4,805,java 3,083,pointers 2,997,",https://stackoverflow.com/users/1705598/icza
matt ball,15 years,Somewhere near the inner rim of the Orion Arm,"358,489",52.0m,"3,727",103,102,649,716,"javascript 8,223,java 6,665,jquery 5,629,html 2,187,android 2,125,css 1,724,",https://stackoverflow.com/users/139010/matt-ball
some programmer dude,"13 years, 10 months","Malmö, Sweden","406,502",36.8m,"11,929",43,,,,"c++ 18,658,c 13,696,pointers 3,058,arrays 2,627,c++11 2,037,string 1,756,",https://stackoverflow.com/users/440558/some-programmer-dude
abarnert,"12 years, 10 months","San Francisco, CA","362,052",58.0m,"6,317",5,,,,"python 31,679,python-3.x 4,496,python-2.7 2,007,numpy 1,582,list 1,575,macos 1,487,",https://stackoverflow.com/users/908494/abarnert
sarfaraz nawaz,"13 years, 11 months",Singapore,"359,193",32.7m,"3,033",217,,,,"c++ 26,096,c++11 3,884,templates 2,139,c 1,889,stl 973,pointers 915,",https://stackoverflow.com/users/415784/sarfaraz-nawaz
marc b,"15 years, 1 month",Canada,"359,102",52.0m,"10,565",0,,,,"php 16,929,mysql 10,109,sql 3,768,javascript 2,960,html 1,820,jquery 1,486,",https://stackoverflow.com/users/118068/marc-b
carol skelly,"14 years, 10 months",USA,"359,227",71.1m,"3,540",26,,,,"twitter-bootstrap 26,892,css 21,016,bootstrap-4 17,331,twitter-bootstrap-3 9,090,html 7,166,bootstrap-5 6,503,",https://stackoverflow.com/users/171456/carol-skelly
mark rajcok,"14 years, 7 months","New Jersey, USA","364,137",34.7m,"1,038",36,,,,"angularjs 20,527,angular 11,092,javascript 9,770,angularjs-directive 4,346,angularjs-scope 3,999,typescript 2,954,",https://stackoverflow.com/users/215945/mark-rajcok
jfs,"15 years, 10 months","Moscow, Russia","409,828",130.3m,"4,484",38,,,,"python 34,170,subprocess 4,130,datetime 4,003,python-3.x 2,970,python-2.7 1,150,unicode 1,143,",https://stackoverflow.com/users/4279/jfs
fred foo,"14 years, 10 months",,"360,988",41.4m,"3,963",68,78,752,843,"python 14,199,c++ 4,412,c 3,938,scikit-learn 2,407,numpy 2,139,machine-learning 1,707,",https://stackoverflow.com/users/166749/fred-foo
dirk is no longer here,"14 years, 11 months","Chicago, IL, United States","366,361",45.7m,"4,040",5,,,,"r 28,640,rcpp 3,738,c++ 2,353,package 1,519,linux 1,181,c 1,036,",https://stackoverflow.com/users/143305/dirk-is-no-longer-here
michael benjamin,"10 years, 2 months",USA,"363,968",40.5m,"3,027",46,,,,"css 31,325,html 22,836,flexbox 22,248,css-grid 7,435,centering 1,668,css-selectors 819,",https://stackoverflow.com/users/3597276/michael-benjamin
ladislav mrnka,"13 years, 11 months","Welwyn Garden City, United Kingdom","363,361",25.0m,"4,994",71,,,,"entity-framework 19,995,c# 13,565,entity-framework-4.1 6,897,entity-framework-4 6,050,ef-code-first 5,473,.net 5,173,",https://stackoverflow.com/users/413501/ladislav-mrnka
falsetru,"11 years, 3 months","Seoul, South Korea","365,420",37.7m,"5,275",1,,,,"python 28,442,string 4,709,python-3.x 4,181,list 3,731,python-2.7 3,556,regex 2,871,",https://stackoverflow.com/users/2225682/falsetru
joan venge,"15 years, 6 months","Los Angeles, CA","325,976",40.5m,24,822,,,,"c# 11,.net 8,wpf 3,python 1,xaml 1,performance 0,",https://stackoverflow.com/users/51816/joan-venge
basil bourque,"13 years, 4 months",,"326,243",102.9m,"6,440",487,,,,"java 23,829,date 8,012,datetime 5,634,timezone 2,723,time 1,731,android 1,551,",https://stackoverflow.com/users/642706/basil-bourque
aaron digulla,"15 years, 8 months","Zurich, Canton of Zurich Switzerland","326,354",57.5m,"6,097",352,,,,"java 8,798,python 2,596,javascript 1,945,eclipse 1,808,html 1,079,linux 970,",https://stackoverflow.com/users/34088/aaron-digulla
brian campbell,"15 years, 4 months","Montpelier, VT, USA","329,463",33.1m,"1,010",17,,,,"git 8,792,shell 5,502,ruby 3,336,bash 3,143,html 1,949,javascript 1,243,",https://stackoverflow.com/users/69755/brian-campbell
assylias,13 years,"London, United Kingdom","326,436",44.9m,"3,692",143,,,,"java 28,571,java-8 8,020,multithreading 1,862,string 1,223,concurrency 1,135,arrays 811,",https://stackoverflow.com/users/829571/assylias
zero323,"11 years, 11 months",,"328,032",36.6m,"2,892",6,,,,"apache-spark 27,221,apache-spark-sql 17,164,pyspark 13,423,python 11,278,dataframe 8,436,scala 8,410,",https://stackoverflow.com/users/1560062/zero323
certainperformance,"6 years, 3 months","Austin, TX, USA","366,422",23.5m,"11,142",2,,,,"javascript 24,058,arrays 3,859,reactjs 2,940,typescript 2,835,html 2,037,node.js 1,981,",https://stackoverflow.com/users/9515207/certainperformance
